item_id,device_id
1,2
2,2
3,2
4,1
5,1
6,2
7,2
8,2
9,4
10,4
11,4
12,2
13,2
14,2
15,4
16,4
17,4
18,1
19,1
20,3
21,3
22,3
23,3
24,4
25,4
26,4
27,1
28,1
29,2
30,2
31,2
32,2
33,2
34,2
35,3
36,3
37,3
38,3
39,3
40,3
41,3
42,3
43,3
44,3
45,3
46,3
47,4
48,4
49,4
50,4
51,4
52,4
53,3
54,3
55,3
56,3
57,2
58,2
59,2
60,2
61,2
62,2
63,4
64,4
65,4
66,2
67,2
68,2
69,4
70,4
71,4
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,2
81,2
82,2
83,2
84,2
85,2
86,4
87,4
88,4
89,3
90,3
91,3
92,3
93,2
94,2
95,2
96,3
97,3
98,3
99,3
100,1
101,1
102,4
103,4
104,4
105,2
106,2
107,2
108,1
109,1
110,2
111,2
112,2
113,3
114,3
115,3
116,3
117,1
118,1
119,2
120,2
121,2
122,2
123,2
124,2
125,4
126,4
127,4
128,1
129,1
130,3
131,3
132,3
133,3
134,3
135,3
136,3
137,3
138,1
139,1
140,3
141,3
142,3
143,3
144,4
145,4
146,4
147,4
148,4
149,4
